word,cefr_level,pos
actor,A1,noun
actress,A1,noun
adult,A1,noun
artist,A1,noun
aunt,A1,noun
baby,A1,noun
band,A1,noun
boy,A1,noun
boyfriend,A1,noun
brother,A1,noun
child,A1,noun
cousin,A1,noun
customer,A1,noun
dad,A1,noun
dancer,A1,noun
daughter,A1,noun
doctor,A1,noun
driver,A1,noun
family,A1,noun
farmer,A1,noun
father,A1,noun
friend,A1,noun
girl,A1,noun
girlfriend,A1,noun
grandfather,A1,noun
grandmother,A1,noun
grandparent,A1,noun
group,A1,noun
husband,A1,noun
man,A1,noun
member,A1,noun
model,A1,noun
mother,A1,noun
mum,A1,noun
neighbour,A1,noun
nurse,A1,noun
parent,A1,noun
partner,A1,noun
people,A1,noun
person,A1,noun
player,A1,noun
police,A1,noun
policeman,A1,noun
reader,A1,noun
scientist,A1,noun
singer,A1,noun
sister,A1,noun
son,A1,noun
student,A1,noun
teacher,A1,noun
team,A1,noun
teenager,A1,noun
tourist,A1,noun
uncle,A1,noun
visitor,A1,noun
waiter,A1,noun
wife,A1,noun
woman,A1,noun
worker,A1,noun
writer,A1,noun
apple,A1,noun
banana,A1,noun
beer,A1,noun
bread,A1,noun
breakfast,A1,noun
butter,A1,noun
cafe,A1,noun
cake,A1,noun
carrot,A1,noun
cheese,A1,noun
chicken,A1,noun
chocolate,A1,noun
coffee,A1,noun
cooking,A1,noun
cream,A1,noun
cup,A1,noun
diet,A1,noun
dinner,A1,noun
dish,A1,noun
egg,A1,noun
fish,A1,noun
food,A1,noun
fruit,A1,noun
ice,A1,noun
ice cream,A1,noun
juice,A1,noun
lunch,A1,noun
meal,A1,noun
meat,A1,noun
menu,A1,noun
milk,A1,noun
onion,A1,noun
orange,A1,noun
pasta,A1,noun
pepper,A1,noun
pizza,A1,noun
potato,A1,noun
restaurant,A1,noun
rice,A1,noun
salad,A1,noun
